type,price,station,beds,baths,receptions,post_code,location
flat,140000.0,0.7,1,1,1,M5,manchester
flat,150000.0,0.7,1,1,0,M5,manchester
flat,179995.0,0.7,2,1,1,M5,manchester
flat,170000.0,0.7,2,1,0,M5,manchester
flat,140000.0,0.4,1,1,0,M5,salford
flat,110000.0,0.6,1,1,1,M60,manchester
flat,129000.0,0.8,1,1,0,M7,salford
flat,189000.0,0.5,1,1,1,M5,manchester
terraced,200000.0,1.2,4,3,1,OL12,rochdale
flat,190000.0,0.5,2,1,1,SK7,stockport
semi-detached,220000.0,0.5,3,1,0,SK7,manchester
semi-detached,625000.0,1.4,4,2,3,M21,manchester
semi-detached,350000.0,0.7,4,3,2,M40,manchester
semi-detached,250000.0,0.9,2,1,0,M20,manchester
detached,250000.0,1.5,3,2,2,WN6,wigan
terraced,180000.0,,3,1,1,BL8,bury
detached,425000.0,0.9,3,2,2,SK6,cheshire
semi-detached,190000.0,1.6,3,1,2,BL3,bolton
semi-detached,108000.0,1.7,2,1,1,BL3,lancashire
flat,215950.0,0.6,2,1,1,M5,salford
flat,175000.0,,2,1,1,BL8,manchester
flat,159950.0,0.6,1,1,1,M5,salford
flat,230000.0,0.3,2,1,1,M3,manchester
flat,360000.0,0.2,3,2,1,M17,manchester
flat,270000.0,0.2,2,1,1,M17,manchester
flat,195000.0,0.2,1,1,1,M17,manchester
flat,195000.0,0.2,1,1,1,M17,manchester
end terrace,190000.0,0.1,3,1,0,SK15,stalybridge
terraced,160000.0,0.4,2,1,1,M18,manchester
detached,390000.0,0.2,4,2,1,SK14,manchester
semi-detached,825003.0,0.6,5,2,3,M28,manchester
detached,200000.0,1.6,3,1,2,WN7,lancashire
flat,187995.0,0.6,1,1,1,M16,manchester
semi-detached,150000.0,1.8,2,1,1,M38,manchester
terraced,110000.0,0.3,2,1,1,WN4,wigan
flat,90000.0,0.5,1,1,1,M19,manchester
detached,585000.0,0.8,4,2,2,SK4,stockport
flat,120000.0,,1,1,1,BL1,bolton
terraced,160000.0,0.3,2,2,1,SK14,manchester
terraced,185000.0,,3,1,1,OL5,ashtonunderlyne
end terrace,120000.0,2.6,2,0,0,WN7,leigh
terraced,325000.0,1.5,2,1,1,SK6,stockport
terraced,240000.0,1.6,3,2,1,M14,manchester
flat,200000.0,0.4,2,2,1,M11,manchester
terraced,160000.0,2.1,4,1,2,OL8,oldham
detached,275000.0,1.1,3,2,2,BL6,bolton
flat,284995.0,0.9,3,2,1,M50,salford
flat,252995.0,0.9,2,2,1,M50,salford
semi-detached,160000.0,1.4,3,1,1,WN4,wigan
flat,179995.0,0.8,1,1,1,M50,salford
semi-detached,310000.0,,3,1,1,M25,manchester
flat,293000.0,0.5,2,2,1,M15,manchester
flat,337000.0,0.5,2,2,1,M15,manchester
flat,185000.0,0.9,2,0,0,M28,manchester
flat,369995.0,0.6,3,2,1,M16,manchester
flat,375000.0,0.4,2,2,1,M15,manchester
terraced,160000.0,0.4,2,1,1,M13,manchester
terraced,195000.0,0.1,2,1,2,M19,manchester
terraced,250000.0,0.5,3,1,2,M19,manchester
semi-detached,275000.0,0.4,4,3,1,SK5,stockport
flat,364000.0,0.4,2,2,1,M15,manchester
flat,356000.0,0.4,2,2,1,M15,manchester
semi-detached,135000.0,,3,1,1,WN2,wigan
flat,175000.0,0.6,1,0,0,M5,salford
flat,259995.0,0.6,2,2,1,M16,manchester
flat,259995.0,0.6,2,2,1,M16,manchester
end terrace,300000.0,0.7,3,1,0,M32,manchester
flat,219995.0,0.6,1,1,1,M16,manchester
flat,230000.0,0.9,2,2,1,BL1,bolton
semi-detached,190000.0,,3,1,2,M26,manchester
semi-detached,450000.0,0.6,3,2,2,SK8,manchester
semi-detached,200000.0,,2,1,2,M27,manchester
flat,352000.0,0.4,2,2,1,M15,manchester
terraced,140000.0,1.2,2,1,1,BL5,bolton
terraced,485000.0,1.6,4,2,2,M21,manchester
detached,350000.0,1.7,3,0,0,BL1,bolton
terraced,126500.0,,2,0,0,BL9,lancashire
flat,250000.0,0.3,2,2,1,M4,manchester
terraced,174995.0,,3,0,0,M45,lancashire
semi-detached,355999.0,0.5,3,0,0,SK4,stockport
flat,175995.0,0.9,1,1,1,M50,salford
flat,445000.0,0.2,2,2,0,SK6,stockport
flat,415000.0,0.2,2,2,0,SK6,stockport
flat,395000.0,0.2,2,2,0,SK6,stockport
terraced,170000.0,0.7,2,1,1,WN6,manchester
terraced,240000.0,3.8,2,1,2,BL0,bury
flat,515000.0,0.2,3,2,1,M15,manchester
flat,355000.0,0.2,2,1,1,M15,manchester
flat,260000.0,0.2,1,1,1,M15,manchester
flat,172500.0,1.9,2,1,1,M16,manchester
terraced,265000.0,,3,2,1,SK15,stalybridge
flat,80000.0,,1,1,1,BL9,bury
semi-detached,395000.0,0.2,3,1,2,SK8,manchester
semi-detached,499950.0,,5,2,3,M25,manchester
semi-detached,160000.0,,3,2,1,M26,manchester
terraced,100000.0,0.6,2,1,2,OL11,rochdale
flat,190000.0,0.4,1,1,1,M4,manchester
flat,95000.0,0.6,2,1,1,M34,manchester
semi-detached,1295000.0,,5,4,3,WA14,altrincham
flat,284137.0,0.2,1,1,1,M15,manchester
semi-detached,299999.0,0.5,3,1,1,M41,manchester
semi-detached,160000.0,3.1,3,2,1,WN7,manchester
flat,530897.0,0.2,3,2,0,M15,manchester
flat,485534.0,0.2,2,1,0,M15,manchester
terraced,265000.0,0.7,3,1,2,M13,manchester
flat,386189.0,0.2,2,1,0,M15,manchester
terraced,140000.0,0.9,2,1,1,M34,manchester
detached,350000.0,0.8,3,2,2,M34,manchester
flat,356127.0,0.2,2,1,0,M15,manchester
flat,330169.0,0.2,2,1,0,M15,manchester
detached,303824.0,0.2,1,1,0,M15,manchester
flat,279386.0,0.2,1,1,0,M15,manchester
flat,255765.0,0.2,1,1,0,M15,manchester
flat,240327.0,0.2,1,1,0,M15,manchester
semi-detached,254950.0,1.9,4,1,1,M8,manchester
semi-detached,145000.0,1.0,2,1,1,OL12,rochdale
terraced,200000.0,,3,1,2,M27,manchester
terraced,130000.0,1.0,2,1,1,BL3,bolton
detached,390000.0,,4,2,3,OL2,oldham
semi-detached,250000.0,1.7,3,1,1,OL8,oldham
flat,84950.0,,2,1,1,M26,manchester
terraced,150000.0,,2,1,1,BL9,bury
flat,284250.0,0.2,1,1,1,M15,manchester
terraced,209950.0,3.8,2,1,2,BL0,bury
flat,350000.0,0.4,2,1,1,M4,manchester
flat,230000.0,0.3,1,1,1,M3,manchester
flat,150000.0,0.6,1,1,1,M16,manchester
flat,300000.0,0.3,2,1,1,M3,manchester
flat,125000.0,1.0,2,1,1,M46,manchester
terraced,224000.0,0.9,3,0,0,M6,salford
flat,135000.0,0.6,1,0,0,M5,manchester
terraced,250000.0,0.3,3,3,1,SK5,cheshire
terraced,255000.0,0.3,3,3,1,SK5,cheshire
flat,240000.0,0.2,2,2,1,M1,manchester
terraced,85000.0,1.1,2,1,2,WN5,wigan
semi-detached,300000.0,0.4,3,2,2,M19,manchester
terraced,110000.0,,3,1,1,M26,manchester
detached,595000.0,3.7,3,2,0,WN7,leigh
flat,240000.0,0.6,2,0,0,M5,manchester
flat,100000.0,0.7,1,1,1,M15,manchester
flat,225000.0,0.3,1,0,0,M3,manchester
semi-detached,220000.0,,2,1,1,BL1,bolton
flat,337500.0,0.3,2,1,1,WA14,altrincham
semi-detached,550000.0,1.8,4,1,2,M21,manchester
flat,364995.0,0.7,3,2,1,M16,manchester
flat,229995.0,0.7,2,2,1,M16,manchester
flat,184995.0,0.7,1,1,1,M16,manchester
flat,243995.0,0.7,2,2,1,M16,manchester
terraced,190000.0,1.0,2,1,1,M34,manchester
detached,185000.0,,3,2,2,OL11,rochdale
semi-detached,350000.0,1.0,3,2,1,M41,manchester
flat,249950.0,0.4,1,1,1,M4,manchester
semi-detached,229000.0,1.2,3,1,1,BL6,bolton
flat,115000.0,,2,1,1,M7,manchester
terraced,95000.0,1.2,3,1,1,WN8,skelmersdale
semi-detached,189995.0,,2,1,1,BL8,bury
flat,325980.0,0.4,2,2,1,M4,manchester
flat,375000.0,0.7,3,2,1,WA14,altrincham
flat,159000.0,,2,1,1,M27,manchester
flat,89950.0,2.1,1,1,1,M7,salford
terraced,100000.0,1.5,2,1,1,OL8,oldham
detached,320000.0,1.8,4,2,2,WN6,wigan
terraced,220000.0,0.6,3,1,1,SK1,cheshire
semi-detached,375000.0,0.8,4,2,2,M28,manchester
terraced,130000.0,1.0,2,1,1,M28,manchester
end terrace,155000.0,,3,1,1,BL1,bolton
semi-detached,184950.0,0.2,3,1,2,WN8,wigan
semi-detached,450000.0,,3,1,2,BL8,bury
terraced,80000.0,0.6,3,1,1,WN4,wigan
terraced,150000.0,0.2,3,1,2,WN4,wigan
terraced,164950.0,0.1,2,1,2,WN4,wigan
terraced,124995.0,0.3,2,1,1,WN4,wigan
flat,115000.0,0.3,2,1,1,WN3,wigan
terraced,155000.0,0.8,3,1,2,WN4,wigan
detached,160000.0,0.9,3,2,2,WN4,wigan
terraced,110000.0,,2,1,1,WN2,wigan
terraced,110000.0,,2,1,1,WN2,wigan
detached,550000.0,3.8,4,2,2,BL0,bury
flat,325000.0,0.3,2,1,1,WA14,altrincham
end terrace,260000.0,0.3,3,1,2,SK3,stockport
flat,329995.0,0.8,3,2,1,M50,salford
flat,279995.0,0.8,2,2,1,M50,salford
flat,199995.0,0.8,1,1,1,M50,salford
semi-detached,200000.0,1.5,3,1,1,M46,manchester
flat,70000.0,2.6,2,1,0,WN7,leigh
detached,450000.0,,4,3,3,OL2,oldham
flat,245000.0,1.4,4,1,1,BL1,bolton
flat,80000.0,1.6,2,1,0,M7,salford
terraced,95000.0,1.0,2,1,2,WN4,wigan
terraced,125000.0,0.2,3,1,2,WN2,wigan
detached,450000.0,0.6,5,4,3,BL5,bolton
terraced,140000.0,0.4,2,1,0,SK15,stalybridge
flat,79950.0,0.8,1,1,1,M14,manchester
flat,129995.0,0.6,1,1,1,M16,manchester
detached,495000.0,2.1,4,2,2,WN6,wigan
terraced,160000.0,,1,1,2,BL2,bolton
detached,650000.0,3.8,4,3,4,BL7,bolton
semi-detached,300000.0,0.3,3,1,2,M28,manchester
flat,170000.0,0.7,2,1,1,M8,manchester
terraced,135000.0,,3,1,1,BL2,bolton
terraced,140000.0,,3,1,2,OL6,ashtonunderlyne
flat,70000.0,1.9,1,0,0,M33,manchester
flat,157500.0,0.5,1,1,1,M1,manchester
flat,5500.0,1.8,1,1,0,M16,manchester
detached,580000.0,1.0,4,1,2,SK8,cheadle
terraced,260000.0,0.9,4,1,2,M6,manchester
terraced,120000.0,1.2,3,0,0,OL12,rochdale
flat,250000.0,0.5,1,1,1,M4,manchester
semi-detached,110000.0,0.3,3,1,1,BL5,manchester
flat,309750.0,4.0,2,1,1,BL0,bury
flat,304500.0,4.0,2,2,1,BL0,bury
end terrace,135000.0,2.9,3,1,1,WN7,leigh
semi-detached,360000.0,,3,1,2,OL11,rochdale
flat,85000.0,0.2,2,1,1,BL1,bolton
semi-detached,140000.0,2.0,2,1,1,WN8,skelmersdale
detached,250000.0,,3,1,0,BL8,bury
semi-detached,170000.0,3.3,3,1,1,WN7,leigh
detached,600000.0,1.0,4,1,2,SK8,cheadle
semi-detached,350000.0,1.1,3,2,1,SK8,manchester
flat,109950.0,0.3,1,1,1,WA14,cheshire
flat,59950.0,2.2,1,1,1,WN8,skelmersdale
terraced,220000.0,1.1,2,1,1,M28,manchester
terraced,175000.0,1.0,3,1,2,BL6,manchester
terraced,200000.0,,2,1,3,BL8,manchester
semi-detached,285000.0,,3,1,2,M25,manchester
semi-detached,170000.0,0.8,3,1,1,BL4,manchester
flat,145000.0,,2,1,1,M6,salford
terraced,150000.0,0.2,3,1,1,SK14,hyde
detached,270000.0,,3,2,2,BL8,bury
flat,120000.0,,2,1,1,M5,manchester
flat,114500.0,0.2,1,1,0,SK6,stockport
semi-detached,150000.0,,3,1,2,OL8,oldham
flat,280000.0,0.3,2,1,1,M3,manchester
flat,1000000.0,0.3,3,3,1,M3,manchester
flat,1400000.0,0.3,3,3,1,M3,manchester
terraced,117000.0,,2,1,1,OL9,oldham
semi-detached,235000.0,0.9,3,1,1,SK15,manchester
detached,325000.0,0.6,4,2,1,WN4,wigan
end terrace,95000.0,1.2,3,1,2,M38,manchester
flat,172000.0,0.6,1,1,1,M16,manchester
flat,179995.0,0.9,1,1,1,M50,manchester
semi-detached,110000.0,,3,1,2,BL2,bolton
flat,127750.0,,2,1,1,M26,manchester
detached,535000.0,0.5,4,2,0,SK6,stockport
semi-detached,310000.0,0.2,4,1,2,SK14,manchester
terraced,200000.0,,3,1,2,M27,manchester
semi-detached,199950.0,0.2,3,1,1,M40,manchester
terraced,250000.0,2.5,3,1,2,OL16,rochdale
flat,370000.0,0.2,3,2,1,M15,manchester
flat,190000.0,2.4,2,1,1,OL12,rochdale
flat,167500.0,0.6,1,1,1,M32,manchester
flat,235000.0,0.6,2,2,1,M32,manchester
semi-detached,350000.0,0.8,3,2,3,SK8,manchester
detached,380000.0,,5,1,1,BL1,bolton
terraced,130000.0,,2,1,2,M24,manchester
terraced,120000.0,0.2,3,1,2,WN4,wigan
flat,150000.0,1.4,1,1,1,M20,manchester
terraced,125000.0,0.7,3,1,1,BL4,bolton
flat,140000.0,0.7,1,0,0,M16,manchester
terraced,225000.0,0.9,4,1,2,M35,manchester
flat,90000.0,0.5,1,1,1,M34,manchester
semi-detached,300000.0,1.9,3,1,1,M23,manchester
detached,380000.0,1.1,4,1,2,WN4,lancashire
flat,350000.0,0.5,2,2,1,M15,manchester
flat,164995.0,,2,0,0,M26,manchester
semi-detached,142500.0,3.1,3,1,1,WN7,wigan
semi-detached,95000.0,3.1,3,1,1,WN7,wigan
semi-detached,180000.0,1.0,3,1,2,WN2,wigan
semi-detached,220000.0,0.6,3,1,3,BL2,bolton
semi-detached,225000.0,2.2,3,1,1,M23,manchester
flat,130000.0,0.7,2,1,1,M15,manchester
flat,200000.0,0.7,2,1,1,M16,manchester
detached,300000.0,0.2,5,2,2,WN2,wigan
terraced,284750.0,,3,2,2,OL7,ashtonunderlyne
end terrace,85000.0,0.3,2,1,0,SK15,manchester
terraced,94950.0,,2,1,1,M26,manchester
terraced,100000.0,,2,1,1,WN1,manchester
end terrace,140000.0,2.4,3,1,1,WN8,skelmersdale
flat,200000.0,0.7,2,1,1,M16,manchester
terraced,325000.0,0.4,3,2,1,M4,manchester
flat,369995.0,1.3,3,3,1,M16,manchester
flat,187995.0,1.3,1,1,1,M16,manchester
flat,243995.0,1.3,2,2,1,M16,manchester
flat,179995.0,0.9,1,1,1,M50,manchester
flat,179995.0,0.9,1,1,1,M50,manchester
flat,179995.0,0.9,1,1,1,M50,manchester
flat,175995.0,0.9,1,1,1,M50,manchester
flat,175995.0,0.9,1,1,1,M50,manchester
detached,120000.0,2.4,4,1,2,WN6,wigan
flat,287950.0,,2,2,2,BL9,bury
semi-detached,150000.0,,4,1,0,BL2,bolton
terraced,130000.0,0.8,3,0,0,OL11,rochdale
terraced,190000.0,0.4,2,1,1,SK12,stockport
terraced,120000.0,0.1,2,1,2,WN4,wigan
flat,70000.0,0.3,1,1,1,SK8,cheadle
flat,60000.0,1.6,2,1,1,BL3,manchester
flat,305000.0,0.5,2,1,0,M15,manchester
flat,310000.0,0.5,2,1,0,M15,manchester
detached,350000.0,1.1,4,2,2,WN2,wigan
flat,195000.0,0.4,2,1,1,M3,salford
terraced,249950.0,0.9,2,1,1,SK6,stockport
flat,281000.0,0.2,2,1,1,M15,manchester
flat,297000.0,0.2,2,1,1,M15,manchester
semi-detached,200000.0,0.1,3,1,2,BL5,bolton
flat,300000.0,0.3,2,2,1,M4,manchester
end terrace,120000.0,3.2,3,1,2,OL2,manchester
terraced,140000.0,,3,1,2,M26,manchester
semi-detached,695000.0,0.2,4,2,0,SK6,stockport
flat,209000.0,0.4,2,2,0,M4,manchester
detached,360000.0,0.5,3,2,2,SK7,manchester
detached,375000.0,0.5,3,2,2,SK7,manchester
flat,165000.0,0.5,1,1,1,SK8,cheadle
terraced,225000.0,4.1,2,1,1,BL0,bury
terraced,115000.0,0.6,2,1,2,WN1,wigan
flat,179950.0,1.3,2,1,1,BL1,bolton
semi-detached,189995.0,0.3,2,1,1,SK6,manchester
flat,105000.0,,2,2,1,M26,manchester
flat,250000.0,0.3,2,1,1,M16,manchester
semi-detached,199950.0,2.1,3,1,1,WN6,manchester
flat,300000.0,0.4,1,0,0,M4,manchester
flat,130000.0,0.7,1,0,0,M16,manchester
flat,165000.0,,3,2,1,M30,manchester
flat,187995.0,0.6,1,1,1,M16,manchester
flat,260000.0,0.3,2,1,1,M3,manchester
end terrace,325000.0,1.2,2,1,2,SK6,stockport
semi-detached,475000.0,0.2,5,0,0,SK8,cheshire
detached,275000.0,2.3,3,2,1,OL8,oldham
detached,450000.0,,3,1,3,OL7,ashtonunderlyne
detached,595000.0,2.2,3,2,3,M29,manchester
terraced,190000.0,1.3,3,1,0,M14,manchester
flat,220000.0,0.9,2,2,1,BL1,bolton
end terrace,250000.0,0.8,3,1,2,M34,manchester
flat,218995.0,0.6,1,1,1,M15,manchester
semi-detached,160000.0,,3,1,1,OL9,manchester
semi-detached,310000.0,0.4,3,1,0,SK6,stockport
semi-detached,325000.0,0.7,4,1,2,M28,manchester
semi-detached,240000.0,,3,2,1,BL0,bury
flat,425000.0,0.1,2,0,0,M15,manchester
flat,220000.0,1.5,2,1,0,M20,manchester
detached,500000.0,0.9,3,2,3,M41,manchester
detached,390000.0,0.2,4,1,3,SK14,hyde
terraced,140000.0,0.9,3,1,3,WN6,wigan
terraced,695000.0,,4,3,2,WA14,altrincham
flat,295000.0,0.1,2,2,1,M1,manchester
detached,550000.0,2.2,5,4,3,WN6,wigan
flat,237995.0,0.3,2,1,0,M4,manchester
flat,242950.0,0.8,2,1,0,M5,manchester
flat,183500.0,0.9,2,1,0,M16,manchester
terraced,200000.0,1.4,3,1,2,M14,manchester
flat,149950.0,1.1,2,1,1,M22,manchester
flat,89500.0,0.5,1,1,1,M19,manchester
flat,250000.0,0.8,2,2,0,M16,manchester
terraced,110000.0,0.9,2,1,2,WN8,skelmersdale
flat,239950.0,1.8,2,2,1,M33,sale
semi-detached,290000.0,1.5,4,2,2,OL9,oldham
terraced,140000.0,1.0,2,1,1,BL3,bolton
semi-detached,265000.0,1.3,3,1,2,BL4,bolton
flat,211150.0,0.7,1,1,1,M15,manchester
detached,315000.0,1.2,3,1,1,SK15,stalybridge
flat,250000.0,1.0,2,2,2,BL1,lancashire
flat,90000.0,1.4,1,1,0,M33,manchester
detached,588000.0,0.3,3,3,2,M41,manchester
flat,94000.0,0.9,2,0,0,BL4,bolton
terraced,175000.0,,2,1,1,OL11,rochdale
terraced,140000.0,1.4,2,1,2,OL12,rochdale
flat,369995.0,0.5,3,2,1,M16,manchester
flat,259995.0,0.5,2,2,1,M16,manchester
flat,219995.0,0.5,1,1,1,M16,manchester
flat,187995.0,0.5,1,1,1,M16,manchester
flat,235000.0,0.0,2,2,1,M3,manchester
semi-detached,345000.0,0.5,3,1,3,SK6,stockport
flat,225000.0,0.2,1,1,1,M3,salford
flat,125000.0,1.4,2,1,1,BL1,bolton
semi-detached,300000.0,0.3,3,2,2,M28,manchester
semi-detached,199950.0,,3,1,2,M24,manchester
flat,180000.0,0.2,2,1,1,M3,manchester
flat,110000.0,0.4,2,1,1,BL6,bolton
terraced,190995.0,,3,2,2,WN2,wigan
semi-detached,325000.0,,3,1,1,BL9,bury
flat,315000.0,0.2,2,2,1,M15,manchester
flat,220000.0,0.2,1,1,1,M15,manchester
semi-detached,295000.0,0.2,3,1,2,M32,manchester
flat,335000.0,0.2,2,2,1,M15,manchester
flat,260000.0,0.2,1,1,1,M15,manchester
semi-detached,249995.0,1.9,3,2,2,OL8,oldham
flat,325000.0,1.7,2,1,2,M33,sale
semi-detached,127750.0,1.1,2,2,1,WN4,wigan
flat,399950.0,0.1,2,2,1,WA14,altrincham
flat,290000.0,,2,2,1,BL8,bury
terraced,185000.0,1.3,3,1,1,OL16,rochdale
semi-detached,140000.0,0.5,3,1,2,WN5,wigan
semi-detached,220000.0,0.3,3,1,2,SK5,cheshire
semi-detached,250000.0,1.0,3,1,1,M5,salford
semi-detached,280000.0,1.3,4,2,1,OL16,rochdale
terraced,130000.0,,2,1,2,BL2,bolton
semi-detached,150000.0,0.3,3,2,2,BL5,bolton
flat,450000.0,1.0,3,2,1,WA14,altrincham
terraced,270000.0,2.7,3,1,0,M33,sale
semi-detached,100000.0,0.9,2,1,1,BL5,bolton
semi-detached,210000.0,1.0,3,1,0,SK1,stockport
terraced,165000.0,0.8,3,1,2,M6,manchester
flat,180000.0,0.6,2,1,1,M16,manchester
flat,80000.0,0.3,1,1,1,SK8,cheadle
detached,350000.0,0.6,4,2,2,BL6,manchester
end terrace,125000.0,,2,1,2,OL11,rochdale
flat,140000.0,2.0,2,2,1,WN6,wigan
terraced,159950.0,0.8,2,1,0,SK1,stockport
flat,105000.0,0.8,2,1,1,BL1,manchester
detached,385000.0,0.9,3,1,2,SK15,stalybridge
terraced,145000.0,1.0,2,1,2,M6,manchester
semi-detached,215000.0,0.8,3,1,2,SK6,stockport
semi-detached,340000.0,1.1,3,1,2,SK12,stockport
flat,195000.0,0.1,1,1,1,SK8,cheadle
detached,450000.0,0.7,4,3,2,SK6,stockport
flat,180000.0,0.7,2,2,1,M5,salford
terraced,90000.0,,2,1,0,OL8,oldham
terraced,375000.0,0.4,5,2,2,SK14,hyde
semi-detached,325000.0,0.8,3,2,2,M27,manchester
flat,145000.0,0.3,1,1,1,M3,salford
semi-detached,300000.0,0.5,3,1,1,SK8,cheadle
terraced,450000.0,2.1,4,2,2,M33,sale
detached,725000.0,0.6,4,2,2,SK8,cheadle
semi-detached,365000.0,2.9,3,1,3,M26,manchester
flat,259950.0,0.7,2,2,1,M16,manchester
terraced,185000.0,1.0,2,1,2,SK5,cheshire
semi-detached,795000.0,0.9,5,3,0,SK15,cheshire
terraced,100000.0,0.8,2,1,2,WN6,wigan
terraced,109950.0,0.6,3,1,1,BL3,bolton
terraced,160000.0,,2,1,2,BL8,bury
terraced,89950.0,1.6,2,1,2,BL3,bolton
terraced,94950.0,0.6,3,1,1,BL3,bolton
semi-detached,265000.0,,4,2,0,OL4,oldham
flat,190000.0,0.3,1,1,1,M4,manchester
detached,270000.0,,3,1,2,OL8,ashtonunderlyne
semi-detached,265000.0,2.4,3,2,1,WN7,leigh
detached,400000.0,,4,2,3,BL8,bury
flat,350000.0,0.1,3,1,1,M1,manchester
flat,245995.0,0.1,2,1,1,M1,manchester
flat,115000.0,0.5,2,1,1,BL2,bolton
flat,113000.0,0.5,2,1,1,BL2,bolton
flat,279995.0,0.4,2,2,1,M4,manchester
detached,400000.0,0.4,5,2,3,BL5,bolton
flat,369995.0,0.6,3,2,1,M16,manchester
flat,187995.0,0.6,1,1,1,M16,manchester
flat,234995.0,0.6,2,2,1,M16,manchester
flat,129995.0,0.6,1,1,1,M16,manchester
flat,119500.0,0.7,1,1,1,M16,manchester
semi-detached,175000.0,0.9,3,1,2,WN1,wigan
flat,175000.0,1.6,2,1,0,M33,sale
flat,280000.0,0.9,3,1,0,M5,manchester
flat,153995.0,0.7,1,1,0,M5,manchester
terraced,189995.0,,3,0,0,BL9,lancashire
flat,55000.0,,2,1,1,BL2,bolton
end terrace,175000.0,0.7,3,1,1,OL12,rochdale
terraced,140000.0,,3,1,2,M5,salford
semi-detached,290000.0,,3,1,2,BL9,manchester
semi-detached,255000.0,,3,1,2,BL8,bury
flat,250000.0,0.2,2,1,0,M3,manchester
semi-detached,350000.0,0.5,3,1,2,SK12,stockport
semi-detached,500000.0,0.7,3,2,1,M20,manchester
terraced,167500.0,2.1,3,1,3,OL12,rochdale
flat,250000.0,0.6,3,2,1,M5,salford
flat,250000.0,0.6,3,2,1,M5,salford
flat,89950.0,,2,1,1,BL2,bolton
semi-detached,210000.0,0.5,3,1,1,BL6,bolton
flat,120000.0,,2,1,1,M30,manchester
flat,125000.0,,2,1,1,M30,manchester
flat,132000.0,,2,1,1,M30,manchester
flat,135000.0,,2,1,1,M30,manchester
flat,125000.0,,2,1,1,M30,manchester
flat,125000.0,,2,1,1,M30,manchester
detached,425000.0,0.3,4,3,2,M12,manchester
terraced,140000.0,0.7,2,1,2,M34,manchester
semi-detached,280000.0,1.1,4,3,3,M7,salford
flat,80000.0,,1,1,1,M26,manchester
end terrace,150000.0,0.7,3,1,1,M6,manchester
detached,550000.0,,4,1,2,BL8,bury
semi-detached,240000.0,0.9,3,3,1,M6,salford
terraced,105000.0,,3,1,1,BL8,bury
semi-detached,475000.0,1.7,4,2,2,M33,sale
flat,55000.0,1.1,1,1,1,M38,manchester
terraced,140000.0,1.9,3,1,2,WN2,wigan
terraced,79950.0,2.5,2,1,1,WN7,leigh
detached,585000.0,,3,1,2,BL7,bolton
semi-detached,249995.0,,3,1,2,BL1,bolton
terraced,140000.0,0.7,2,1,1,M28,manchester
semi-detached,254995.0,2.3,5,2,3,OL8,oldham
detached,799950.0,0.9,4,1,4,BL1,bolton
flat,110000.0,0.3,1,1,1,SK1,manchester
end terrace,250000.0,0.6,3,2,2,M40,manchester
detached,490000.0,1.9,4,2,2,M40,manchester
semi-detached,735000.0,0.6,4,2,3,SK7,stockport
flat,2000000.0,,5,3,2,WA15,altrincham
end terrace,100000.0,1.2,3,1,2,WN8,skelmersdale
flat,337500.0,0.5,2,2,0,M4,manchester
flat,234500.0,0.5,1,1,0,M4,manchester
terraced,120000.0,0.5,2,1,1,WN2,wigan
terraced,145000.0,0.6,3,0,0,WN1,lancashire
semi-detached,250000.0,,3,1,1,M6,manchester
detached,525000.0,0.8,3,2,0,SK6,stockport
flat,139950.0,1.7,1,1,1,M33,sale
flat,224950.0,0.2,2,1,1,M1,manchester
detached,80000.0,1.0,2,1,1,WN2,wigan
flat,169950.0,2.1,2,1,1,M7,salford
terraced,290000.0,,3,1,2,M6,manchester
semi-detached,180000.0,1.2,3,1,1,WN6,wigan
semi-detached,195000.0,,2,1,1,BL8,bury
terraced,120000.0,0.9,2,1,1,BL3,bolton
terraced,210000.0,0.5,3,1,0,M19,manchester
flat,200000.0,0.8,2,0,0,M16,manchester
semi-detached,225000.0,1.6,3,0,0,WN7,leigh
semi-detached,270000.0,2.6,3,0,0,WN7,leigh
flat,143000.0,0.6,1,1,1,M15,manchester
detached,241995.0,1.6,3,2,1,WN8,lancashire
semi-detached,345000.0,0.1,4,1,2,M34,manchester
semi-detached,350000.0,0.3,3,1,2,SK12,cheshire
flat,72500.0,0.6,1,1,1,SK6,manchester
detached,595000.0,0.5,3,3,4,M41,manchester
flat,145000.0,1.1,2,2,1,M20,manchester
detached,1250000.0,1.5,5,5,3,OL3,oldham
flat,145000.0,0.6,2,1,1,M15,manchester
semi-detached,230000.0,,3,1,1,M27,manchester
detached,275000.0,,2,1,2,BL9,bury
semi-detached,249950.0,,3,2,1,OL2,oldham
detached,525000.0,0.7,4,2,0,SK8,cheadle
semi-detached,235000.0,0.9,3,1,0,SK1,stockport
flat,94950.0,1.4,2,2,0,BL3,bolton
semi-detached,180000.0,3.1,3,1,2,OL1,manchester
semi-detached,275000.0,1.3,3,1,2,M14,manchester
end terrace,210000.0,0.6,3,1,1,SK7,cheshire
semi-detached,140000.0,0.2,2,2,1,BL4,bolton
detached,180000.0,1.9,3,2,1,WN8,skelmersdale
detached,850000.0,,4,2,3,M45,manchester
flat,240000.0,0.6,2,2,1,SK6,stockport
semi-detached,330000.0,,5,2,2,OL1,oldham
detached,469995.0,,4,0,0,BL0,lancashire
terraced,260000.0,0.5,3,2,2,OL6,ashtonunderlyne
